country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Canada,2025,107.90239420950157,109.44669059386082,111.08343986404554,112.68287817716079,114.17823017906959,0.0,120.0
Canada,2026,103.0005680391579,105.19370475127177,107.60114154474269,110.05549473965334,112.19242285374949,0.0001,120.0
Canada,2027,97.98068067406477,100.72102698687269,103.66562491305882,106.65458088429618,109.42236432869653,0.0,120.0
Canada,2028,93.86877267245853,96.93222156197965,100.35871618308863,103.80173771952356,106.78049729713186,0.0001,120.0
Canada,2029,89.3726821399211,92.78207450322228,96.56500470459999,100.42516405838182,103.84185789065539,0.0,120.0
Canada,2030,84.8648822694053,88.30276833645556,92.38395405917524,96.61570704238277,100.29219910995864,0.0,120.0
Canada,2031,80.31267046454217,84.06771794124126,88.42133971812018,92.80558098797732,96.82803243875776,0.0,120.0
Canada,2032,76.37272815036691,80.2071673755393,84.57224278997289,89.22353349162896,93.57004463196365,0.0,120.0
Canada,2033,72.62824492386805,76.49661847817042,80.87837168807931,85.71081736874413,90.0182857533318,0.0,120.0
Canada,2034,69.29790176079253,73.2782002758867,77.69037268048325,82.3465341065879,86.78755585270375,0.0,120.0
