Pais,GAP_Domar,DeltaW,EMA,ISF,IDEC,ICRA,Status
Argentina,-190.8875593070955,"[76.86, 156.38]",50.07995290781842,5.078439883425313,0.9503595077100666,0.3135762077993909,INSUSTENTAVEL
Australia,0.26389469450059944,"[-0.40, 1.14]",-2.36012713907092,2.9706800784812235,0.08798696783443122,0.33166015686407796,LIMIAR
Brazil,0.7261547067324224,"[-5.14, -4.47]",-5.442179062273453,16.200139056987613,2.8060805350379323,0.7491462835279907,INSUSTENTAVEL
Canada,-2.8990238499670733,"[-1.74, 0.57]",-0.19436397025514962,0.514591851120823,0.10990128152355821,0.32059406098683574,LIMIAR
China,3.618042077260228,"[-2.05, -1.16]",-5.068458799128436,3.729885955319482,0.7111109094289345,0.35273438195835266,INSUSTENTAVEL
Euro Area,-0.5651450157056745,"[-3.37, 1.34]",1.072536322843089,4.094827586206897,1.3379781082204052,0.3945769370315923,LIMIAR
Global Aggregate,-2.645280851254796,"[-2.69, 1.12]",-0.6494828644423611,7.326751387012874,0.01920343933097577,0.3718107442261489,LIMIAR
Greece,-8.305667875176402,"[-3.17, 1.15]",,6.621506163798364,0.7331793010181218,0.3488747104014559,INSUSTENTAVEL
India,-0.008423488988183347,"[-2.75, -1.04]",-2.905104134211209,24.285782648227013,1.5430993139824383,0.5125764691234127,INSUSTENTAVEL
Indonesia,-0.05148426632040054,"[-4.25, -2.88]",-5.394274806170705,15.098213674628704,1.1819559365103416,0.4334811590989362,LIMIAR
Ireland,-6.256260095726084,"[-2.60, 1.34]",,1.3312225660214438,0.08848211367126435,0.29868860382632945,LIMIAR
Italy,-0.32181999489326496,"[-3.17, 0.10]",,7.935733084302572,0.10251985135971285,0.3469444934835367,INSUSTENTAVEL
Japan,-4.726694956407888,"[0.71, 5.10]",-6.444714405309402,1.042710505646886,0.09205824295627267,0.29695976455118167,LIMIAR
Lebanon,,N/A,,4.392796300803116,,0.027131900777699332,INSUSTENTAVEL
Mexico,3.301406481597758,"[-3.84, -3.04]",-0.3327514371184801,24.02109961452627,0.05855278828564096,0.4715252064646013,INSUSTENTAVEL
Portugal,-6.614116740524754,"[-2.52, 2.43]",,4.170980283893528,0.1299683665235732,0.31592960866842257,LIMIAR
Saudi Arabia,2.3534734390940515,"[-7.96, -3.09]",,0.32973427296825464,1.452887161075011,0.36273227001414565,INSUSTENTAVEL
South Korea,-2.4645088380635625,"[-0.27, 2.99]",-2.035541867728184,0.0,1.2780492088210968,0.35148924735285286,LIMIAR
Spain,-3.062134786044167,"[-3.22, 0.98]",,4.297004401116842,0.1792369004333801,0.32362300189782794,LIMIAR
Turkey,-10.645869798089889,"[-29.98, 12.88]",16.347389118276244,7.444255052701151,0.6466073486549818,0.4464002541422438,LIMIAR
United Kingdom,0.655379552073712,"[-2.84, 1.46]",4.533226168590223,5.126531038625263,0.5005672168301789,0.38526144222052006,INSUSTENTAVEL
United States,1.0886048450244394,"[-4.23, -0.67]",0.5008359137434599,12.192146648643302,2.725206052110176,0.4940508956093314,INSUSTENTAVEL
