country,lags,n_obs,aic,bic,raw_max_root_modulus,max_root_modulus,is_stable,was_stabilized,fitted_start_year,fitted_end_year
Argentina,1,25,919.4875539065703,976.0341377632717,1.2010008109885735,0.9799999999999989,True,True,1995,2019
Australia,1,25,501.9500007957321,558.4965846524335,1.068974355859527,0.9799999999999955,True,True,1995,2019
Brazil,2,19,-472.17463473661405,-402.1847138358919,0.9610351729453156,0.9610351729453156,True,False,2001,2019
Canada,1,25,452.9653706355939,509.51195449229533,0.9466653124163076,0.9466653124163076,True,False,1995,2019
China,1,25,507.70509635988856,564.25168021659,1.0811799096573664,0.9751000000000022,True,True,1995,2019
Euro Area,1,25,401.8301361802453,458.3767200369467,1.006283356121209,0.975100000000001,True,True,1995,2019
Global Aggregate,2,25,292.8502200290734,388.231734167122,1.1537090304502342,0.9799908809383723,True,True,1995,2019
Greece,1,25,579.1335509931771,635.6801348498784,0.8876526436465393,0.8876526436465393,True,False,1995,2019
India,1,25,513.4387505630795,569.9853344197809,0.8734326771188212,0.8734326771188212,True,False,1995,2019
Indonesia,2,20,-255.17335590872716,-180.38212824544934,1.1016206751204194,0.9780549214979738,True,True,2000,2019
Ireland,1,25,702.1972321148609,758.7438159715623,0.7912662326752912,0.7912662326752912,True,False,1995,2019
Italy,1,25,384.9551902818164,441.5017741385178,1.0463142870651176,0.9799999999999993,True,True,1995,2019
Japan,1,25,461.85716160181073,518.4037454585122,0.9807226227132123,0.9758190095996603,True,True,1995,2019
Lebanon,2,20,368.3398348715707,421.7621403453406,1.304883486497389,0.9796338519149421,True,True,2000,2019
Mexico,1,24,592.934725439746,647.4384478043451,0.8884333768586372,0.8884333768586372,True,False,1996,2019
Portugal,1,25,449.5193740944043,506.0659579511057,0.8863370369602809,0.8863370369602809,True,False,1995,2019
Saudi Arabia,1,25,925.8219667456469,982.3685506023484,0.9345751307348229,0.9345751307348229,True,False,1995,2019
South Korea,1,25,599.0100923593336,655.556676216035,0.9561610718707256,0.9561610718707256,True,False,1995,2019
Spain,1,25,347.42611078613356,403.972694642835,0.9182225705554484,0.9182225705554484,True,False,1995,2019
Turkey,2,20,-146.52079712193319,-71.72956945865536,1.1319020272732832,0.9787145400387509,True,True,2000,2019
United Kingdom,1,25,426.37862218539533,482.92520604209676,0.9999611952271223,0.9751000000000002,True,True,1995,2019
United States,1,19,248.93927380245225,280.102285328818,0.9838369713130519,0.9789177864564862,True,True,2001,2019
